datetime,weight,feeding_status
2016-10-24T17:30:00Z,3.39,NA
2016-10-25T10:00:00Z,3.34,NA
2016-10-26T10:00:00Z,3.19,NA
2016-10-27T10:00:00Z,3.14,NA
2016-10-28T10:00:00Z,3.16,NA
2016-11-01T10:00:00Z,3.22,NA
2016-11-04T10:00:00Z,3.22,NA
2016-11-06T10:00:00Z,3.32,NA
2016-11-10T10:00:00Z,3.34,NA
2016-11-13T10:00:00Z,3.42,NA
2016-11-18T10:00:00Z,3.55,NA
2016-11-22T10:00:00Z,3.645,NA
2016-11-23T12:00:00Z,3.75,NA
2016-11-23T23:00:00Z,3.67,Before feeding
2016-11-23T23:45:00Z,3.77,After feeding
2016-11-24T08:30:00Z,3.76,Before feeding
2016-11-24T09:30:00Z,3.85,After feeding
2016-11-24T11:30:00Z,3.75,Before feeding
2016-11-24T17:30:00Z,3.71,Before feeding
2016-11-24T18:30:00Z,3.77,After feeding
2016-11-24T21:00:00Z,3.7,Before feeding
2016-11-25T03:30:00Z,3.75,Before feeding
2016-11-25T04:30:00Z,3.88,After feeding
2016-11-25T13:00:00Z,3.74,Before feeding
2016-11-25T14:00:00Z,3.83,After feeding
2016-11-26T00:12:00Z,3.88,After feeding
2016-11-26T03:30:00Z,3.8,Before feeding
2016-11-26T07:30:00Z,3.83,Before feeding
2016-11-26T09:00:00Z,3.97,After feeding
2016-11-26T12:30:00Z,3.77,Before feeding
2016-11-26T17:00:00Z,3.75,Before feeding
2016-11-26T18:30:00Z,3.83,After feeding
2016-11-26T20:20:00Z,3.77,Before feeding
2016-11-26T21:50:00Z,3.86,After feeding
2016-11-26T22:10:00Z,3.89,After feeding
2016-11-26T23:50:00Z,3.8,Before feeding
2016-11-27T00:10:00Z,3.88,After feeding
2016-11-27T06:00:00Z,3.83,Before feeding
2016-11-27T06:45:00Z,3.91,After feeding
2016-11-27T10:15:00Z,3.82,Before feeding
2016-11-27T11:25:00Z,3.9,After feeding
2016-11-27T20:50:00Z,3.8,Before feeding
2016-11-27T22:00:00Z,3.9,After feeding
2016-11-28T01:30:00Z,3.8,Before feeding
2016-11-28T01:50:00Z,3.94,After feeding
2016-11-28T05:35:00Z,3.87,Before feeding
2016-11-28T07:00:00Z,3.96,After feeding
2016-11-28T11:00:00Z,3.85,Before feeding
2016-11-28T12:10:00Z,3.92,After feeding
2016-11-28T15:35:00Z,3.8,Before feeding
2016-11-28T17:00:00Z,3.85,After feeding
2016-11-28T23:00:00Z,3.85,Before feeding
2016-11-28T23:25:00Z,3.98,After feeding
2016-11-29T04:30:00Z,3.87,Before feeding
2016-11-29T05:20:00Z,4,After feeding
2016-11-29T10:15:00Z,3.88,Before feeding
2016-11-29T11:25:00Z,3.95,After feeding
2016-11-29T15:15:00Z,3.83,Before feeding
2016-11-29T19:20:00Z,3.84,Before feeding
2016-11-29T20:45:00Z,3.93,After feeding
2016-11-29T23:20:00Z,4.01,After feeding
2016-11-30T04:15:00Z,3.87,Before feeding
2016-11-30T05:20:00Z,3.99,After feeding
2016-11-30T10:15:00Z,3.86,Before feeding
2016-11-30T11:20:00Z,3.93,After feeding
2016-11-30T20:35:00Z,3.87,Before feeding
2016-11-30T21:05:00Z,4.01,After feeding
2016-12-01T01:50:00Z,3.92,Before feeding
2016-12-01T03:10:00Z,4.07,After feeding
2016-12-01T08:35:00Z,3.92,Before feeding
2016-12-01T10:20:00Z,4.02,After feeding
2016-12-01T12:00:00Z,3.92,Before feeding
2016-12-01T12:50:00Z,3.99,After feeding
2016-12-01T15:30:00Z,3.88,Before feeding
2016-12-01T16:30:00Z,3.95,After feeding
2016-12-01T19:00:00Z,3.86,Before feeding
2016-12-01T20:20:00Z,3.94,After feeding
2016-12-01T22:45:00Z,3.88,Before feeding
2016-12-01T23:10:00Z,4,After feeding
2016-12-02T04:35:00Z,3.91,Before feeding
2016-12-02T05:55:00Z,4.04,After feeding
2016-12-02T10:30:00Z,3.94,Before feeding
2016-12-02T20:00:00Z,3.87,Before feeding
2016-12-02T21:46:00Z,3.93,After feeding
2016-12-02T22:10:00Z,4.02,After feeding
2016-12-03T01:15:00Z,3.92,Before feeding
2016-12-03T01:40:00Z,4.08,After feeding
2016-12-03T06:00:00Z,3.96,Before feeding
2016-12-03T07:10:00Z,4.03,After feeding
2016-12-03T11:20:00Z,3.89,Before feeding
2016-12-03T12:45:00Z,3.94,After feeding
2016-12-03T23:05:00Z,4.04,After feeding
2016-12-03T23:50:00Z,4.13,After feeding
2016-12-04T04:45:00Z,3.99,Before feeding
2016-12-04T05:30:00Z,4.1,After feeding
2016-12-04T09:45:00Z,3.99,Before feeding
2016-12-04T14:15:00Z,4,After feeding
2016-12-04T16:50:00Z,3.97,Before feeding
2016-12-04T17:55:00Z,4.02,After feeding
2016-12-04T19:50:00Z,3.94,Before feeding
2016-12-04T20:20:00Z,4.07,After feeding
2016-12-04T23:05:00Z,3.96,Before feeding
2016-12-04T23:30:00Z,4.15,After feeding
